[ami] EN2002a: 2142.71s, 4 speakers
[ami] EN2002b: 1786.85s, 4 speakers
[ami] EN2002c: 2972.26s, 3 speakers
[ami] EN2002d: 2209.9s, 4 speakers
[ami] ES2004a: 1049.35s, 4 speakers
[ami] ES2004b: 2345.49s, 4 speakers
[ami] ES2004c: 2334.37s, 4 speakers
[ami] ES2004d: 2222.29s, 4 speakers
[ami] IS1009a: 838.83s, 4 speakers
[ami] IS1009b: 2052.33s, 4 speakers
[ami] IS1009c: 1820.83s, 4 speakers
[ami] IS1009d: 1944.5s, 4 speakers
[ami] TS3003a: 1505.64s, 4 speakers
[ami] TS3003b: 2210.3s, 4 speakers
[ami] TS3003c: 2570.0s, 4 speakers
[ami] TS3003d: 2618.2s, 4 speakers

16 of 16 recordings, 543.7 min -> $HOME/ami16_corpus
