[p3] 7176-88083-0001  16.57s
[p3] ref: THE MERGANSER HAD A CRESTED HEAD OF IRIDESCENT GREEN BLACK A BROAD COLLAR OF LUSTROUS WHITE BLACK BACK BLACK AND WHITE W

[p3] defaults: 34 distinct output(s) in 40 decodes
        5x  The
        2x  The Morganseer had a crested head of ear decent green black, a broad collar of lustrous white, black back, bla
        2x  The Morgan cancer had a crested head of ear decent green black, a broad collar of lustrous white, black back, 
        1x  The McGancer had a crested head of ear-decent green black, a broad collar of lustrous white, black-back, black
        1x  The forgets the regancer had a crested head of iridescent green black, a broad collar of lustrous white, black
        1x  The Morgan cancer had a crested head of ear decent green black, a broad collar of lustrous white, black back, 
        1x  The regancer had a crested head of ear decent green black, a broad collar of lost dress white, black back, bla
        1x  The Magancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, black
        1x  The Mahr-Gancer had a crested head of ear-decent green black, a broad collar of lustrous white, black-back, bl
        1x  The Morgan cancer had a crested head of ear decent green black, a broad collar of lustrous white, black back, 
        1x  The Morgan cancer had a crested head of ear decent green black, a broad collar of lustrous white, black back, 
        1x  The Morganzo had a crested head of the iridescent green black, a broad collar of lustrous white, black back, b
        1x  The Maganser had a crested head of iridescent green black, a broad collar of lustrous white, black back, black
        1x  The Mr. Ganttzer had a crested head of ear-decent green black, a broad collar of lostrous white, black-back, b
        1x  The McGancer had a crested head of ear-decent green Black, a broad collar of lustrous white, black back, black
        1x  The Morganseer had a crested head of iridescent green black, a broad collar of lustrous white, black back, bla
        1x  The Morganseer had a crested head of ear Decent green black a broad collar of lustrous white black back black 
        1x  The frigansir had a crested head of iridescent green black, a broad collar of lustrous white, black back, blac
        1x  The merganser had a crested head of ear-decent green black, a broad collar of lustrous white, black back, blac
        1x  The McGancer had a crested head of Ewer Descent Green Black, a broad collar of lustrous white, black-back, bla
        1x  The Murganzer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, blac
        1x  The results have a crusted head of iridescent green black, a broad color of lustrous white, black black black 
        1x  The regancer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, black
        1x  The forgets her head of ear decent green black, a broad color of lost her white, black black and white wings, 
        1x  The Morganseer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, bla
        1x  The Murganser had a crested head of Iridescent green black, a broad collar of lustrous white, black back, blac
        1x  The brigancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, blac
        1x  The Murganzer had a crested head of Iridescent green black, a broad collar of lustrous white, black back, blac
        1x  The Mrigantzer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, bla
        1x  The Bragancer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, blac
        1x  The black and white wings, white belly, sides finely penciled in black and white, and a rest of rich just not 
        1x  The Margansar had a crested head of iridescent green black, a broad collar of lustrous white, black back, blac
        1x  The forgets her had a crested head of iridescent green black, a broad collar of lustrous white, black back, bl
        1x  The regancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, black

[p3] temperature=0 (no fallback): 1 distinct output(s) in 40 decodes
       40x  The

[p3] no prev-text conditioning: 34 distinct output(s) in 40 decodes
        4x  The
        3x  The McGancer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, black
